API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude
42301320910000,2013-12-12,2013-12-12,2014-05-25,2014-05-01 00:00:00.000,WPX ENERGY PRODUCTION LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.897594315,-103.844120535,31.884009999999996,-103.84436
42003464070000,2014-08-19,2014-10-02,2014-11-25,2014-11-01 00:00:00.000,MEWBOURNE OIL COMPANY,WICHITA-ALBANY /LM/,PERMIAN BASIN,TEXAS,ANDREWS,32.108746998,-102.77952345,32.12927,-102.78466
42105418840000,2013-09-04,2013-11-06,2014-01-15,2014-01-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.036274193,-101.27551981200001,31.05851,-101.27368
42389340290000,2013-11-25,2014-03-15,2014-11-27,2014-05-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP / BONE SPRING,PERMIAN BASIN,TEXAS,REEVES,31.302935293,-103.369787341,31.316,-103.36569
42105419280000,2013-12-20,2014-01-11,2014-03-18,2014-03-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.977440855,-101.280881986,30.99695,-101.28186
42389343630000,2014-06-17,2014-08-19,2014-12-22,2014-11-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.809634509000002,-103.928600575,31.8251,-103.92754000000001
42383389320000,2014-06-30,2014-09-14,2014-11-23,2014-11-01 00:00:00.000,PARSLEY ENERGY OPERATIONS LLC,SPRABERRY,PERMIAN BASIN,TEXAS,REAGAN,31.357057976999997,-101.458259521,31.37479,-101.45766
42475368150000,2014-10-02,2014-11-06,2015-04-07,2015-04-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,WARD,31.488693765,-103.318677881,31.47907,-103.32915
42105419390000,2013-12-19,2014-02-02,2014-04-30,2014-04-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.889867059,-101.248490817,30.91005,-101.24696999999999
42109328010000,2014-12-03,2014-12-25,2015-04-11,2015-04-01 00:00:00.000,CAPITAN ENERGY INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,CULBERSON,31.732521844,-104.18715005799999,31.716479999999997,-104.18298
42105420140000,2014-04-12,2014-06-19,2014-09-15,2014-09-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.97806436,-101.26719117200001,30.99925,-101.26637
42389340270000,2013-11-25,2014-05-27,2014-09-05,2014-08-01 00:00:00.000,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.71631256,-103.755821305,31.730959999999996,-103.72764000000001
42301320620000,2013-10-17,2013-11-23,2014-04-21,2014-04-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.658021841,-103.44388859200001,31.6705,-103.43004
42109326280000,2013-10-29,2014-01-02,2014-02-27,2014-02-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CULBERSON,31.998774829000002,-104.041703124,31.98765,-104.04271
42329401990000,2015-04-09,2015-05-03,2015-07-25,2015-06-01 00:00:00.000,ENCANA OIL & GAS (USA) INCORPORATED,SPRABERRY,PERMIAN BASIN,TEXAS,MIDLAND,31.699971489,-102.008672783,31.71345,-102.01222
42301322670000,2014-07-26,2014-12-19,2015-05-17,,EOG RESOURCES INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.962763540999998,-103.450857523,31.97578,-103.45430999999999
30015409160000,2012-12-11,2014-09-17,2015-03-23,2014-12-01 00:00:00.000,APACHE CORPORATION,YESO,PERMIAN BASIN,NEW MEXICO,EDDY,32.843095263,-103.901058115,32.84503,-103.91526
42105414650000,2012-05-02,2012-07-04,2014-09-20,2014-09-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.953061345,-101.31604363,30.97682,-101.31498
42383386500000,2014-03-07,2014-07-17,2015-01-09,2015-01-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.154168808,-101.563090013,31.134520000000002,-101.56438
30015427630000,2014-10-17,2015-02-25,2015-06-25,2015-07-01 00:00:00.000,APACHE CORPORATION,YESO,PERMIAN BASIN,NEW MEXICO,EDDY,32.862496471,-103.86608490200001,32.86248,-103.8496
30015425060000,2014-07-08,2014-11-24,2015-02-20,2015-02-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,YESO / GLORIETA,PERMIAN BASIN,NEW MEXICO,EDDY,32.859102405,-104.01969793299999,32.858959999999996,-104.00327
42383393200000,2015-02-03,2015-02-12,2015-05-06,2015-04-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.258321982,-101.639776506,31.237059999999996,-101.63790999999999
42109325850000,2013-06-14,2014-05-11,2015-05-03,2015-04-01 00:00:00.000,LIMESTONE EXPLORATION II LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,CULBERSON,31.757968748000003,-104.30780866799999,31.74565,-104.3077
42301321420000,2014-03-20,2014-04-22,2015-01-19,2015-01-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.690012002,-103.505576816,31.67895,-103.51853
42317394390000,2014-06-16,2014-06-25,2014-11-20,2014-11-01 00:00:00.000,OCCIDENTAL PERMIAN LIMITED,SPRABERRY,PERMIAN BASIN,TEXAS,MARTIN,32.114660258,-102.149972185,32.13315,-102.15505
30015417860000,2013-11-12,2014-03-19,2014-09-02,2014-08-01 00:00:00.000,EOG Y RESOURCES INC,YESO / GLORIETA,PERMIAN BASIN,NEW MEXICO,EDDY,32.640587696,-104.49806668299999,32.640029999999996,-104.4815
42389345680000,2014-10-03,2015-02-13,2015-04-05,,PDC ENERGY INC,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.611404946,-103.974977777,31.62583,-103.97349
42003459290000,2014-02-12,2014-04-04,2014-05-25,2014-05-01 00:00:00.000,LIME ROCK RESOURCES IV A LP,SAN ANDRES,PERMIAN BASIN,TEXAS,ANDREWS,32.411576445,-102.72033272,32.4248,-102.72359
42105421200000,2014-09-10,2014-09-17,2015-01-17,2014-12-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.016285916999998,-101.509018169,31.039640000000002,-101.50832
42301321150000,2014-02-04,2014-02-14,2014-06-05,2014-05-01 00:00:00.000,WPX ENERGY PRODUCTION LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.999659343,-103.724445873,31.98613,-103.72453
42389345420000,2014-09-29,2014-10-25,2015-04-12,2015-01-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.853595608000003,-103.99495215299999,31.83982,-103.99645
30015423250000,2014-04-16,2014-10-21,2015-01-25,2015-01-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,YESO / GLORIETA,PERMIAN BASIN,NEW MEXICO,EDDY,32.610200243,-104.432977905,32.623090000000005,-104.43238000000001
42003467280000,2014-09-08,2014-10-19,2015-02-14,2014-12-01 00:00:00.000,LIME ROCK RESOURCES IV A LP,SAN ANDRES,PERMIAN BASIN,TEXAS,ANDREWS,32.373548446,-102.746720206,32.360209999999995,-102.74276
30015421500000,2014-03-03,2014-09-14,2015-02-01,2015-05-01 00:00:00.000,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,NEW MEXICO,EDDY,32.000603557,-104.20559516,32.019420000000004,-104.20545
42389347520000,2015-01-15,2015-01-31,2015-08-11,2015-04-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.772938879,-103.926950083,31.795820000000003,-103.92748
42495333910200,2014-06-12,2014-12-20,2015-03-12,2014-10-01 00:00:00.000,FELIX ENERGY HOLDINGS II LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,WINKLER,31.770726275999998,-103.251200905,31.758129999999998,-103.24776999999999
42389348070000,2015-03-20,2015-07-16,2015-12-03,2015-10-01 00:00:00.000,OXY USA WTP LP,WOLFCAMP / BONE SPRING,PERMIAN BASIN,TEXAS,REEVES,31.085173775999998,-103.33028135200001,31.08413,-103.305
42389340770000,2014-01-03,2014-04-01,2014-06-25,2014-06-01 00:00:00.000,ENERGEN RESOURCES CORPORATION,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.534266219000003,-103.648054095,31.52018,-103.64780999999999
42475365500000,2013-09-30,2013-10-07,2014-01-03,2015-10-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,WARD,31.437418096,-103.33642701,31.424540000000004,-103.34891999999999
42105419220000,2013-12-10,2013-12-28,2014-04-03,2014-04-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.026845451,-101.330570085,31.00507,-101.33293
42389340350000,2013-12-05,2014-01-31,2014-06-21,,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.568038971,-103.82734521100001,31.58342,-103.82630999999999
42389340350000,2013-12-05,2014-01-31,2014-06-21,2014-06-01 00:00:00.000,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.568038971,-103.82734521100001,31.58342,-103.82630999999999
30015424580000,2014-06-25,2014-08-31,2015-01-19,2014-12-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,NEW MEXICO,EDDY,32.240941,-104.220347096,32.241040000000005,-104.20573
42173361520000,2013-10-28,2014-02-19,2014-06-03,2014-06-01 00:00:00.000,LAREDO PETROLEUM INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,GLASSCOCK,31.722571926999997,-101.388956083,31.74905,-101.39709
42235355590000,2013-09-10,2013-12-31,2014-05-28,2014-04-01 00:00:00.000,SEM OPERATING COMPANY LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,IRION,31.102107100999998,-101.211646018,31.12466,-101.21082
42235356290000,2013-12-20,2014-02-03,2014-03-13,2014-03-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,IRION,31.118722005,-101.191037707,31.132009999999998,-101.1906
42173370960100,2015-01-08,2015-03-08,2015-06-04,2015-06-01 00:00:00.000,ENCANA OIL & GAS (USA) INCORPORATED,SPRABERRY,PERMIAN BASIN,TEXAS,GLASSCOCK,31.718562214000002,-101.40974115899999,31.7455,-101.41771999999999
42389348230000,2015-03-27,2015-03-28,2015-10-01,,JAGGED PEAK ENERGY LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.361169404,-103.10948888899999,31.332340000000002,-103.11327
42109326840000,2014-06-19,2014-10-27,2015-02-19,2015-02-01 00:00:00.000,CIMAREX ENERGY COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,CULBERSON,31.783101153,-104.16987585,31.80227,-104.16845
42105420660000,2014-07-09,2014-08-08,2014-11-08,2014-11-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,31.022733800999998,-101.19215400899999,30.999640000000003,-101.19334
42317401510000,2015-02-23,2015-06-05,2015-11-27,2016-10-01 00:00:00.000,QEP ENERGY COMPANY,SPRABERRY,PERMIAN BASIN,TEXAS,MARTIN,32.319785429,-102.192988204,32.30083,-102.18624
